# E0b — decode-tail parallelization + reduction fix (measured)

git_sha: 875794b
# sha_convention: recorded sha is the COMMIT WHOSE TREE produced the measurement.
#   (Each file was authored just before its own commit, so the sha captured from HEAD at
#    write time was the parent. Corrected here; measured values unchanged.)
gpu: RTX 5090 index 1 (CUDA_VISIBLE_DEVICES=1)
workload: chat-template 60 output tokens

kernel,ms_per_token,e0a_ms_per_token
nvfp4_gemv_rows_f32<8,4,4,2>,17.05,17.39
gated_delta_attention_parallel_f32,3.25,3.25
rms_norm_f32_bf16_scale_parallel,2.23,5.26
cast_bf16_to_f32,1.09,1.12
linear_f32_rows_kernel<8,2>,0.75,0.79
cast_f32_to_bf16,0.52,0.53
grouped_attention_bf16_cache_cached,0.32,0.32
residual_f32,0.19,0.75
silu_mul_f32,0.18,2.63
causal_conv_silu_f32,0.15,3.80
split_f32,0.13,0.94
gated_delta_parameters_f32,0.075,0.08
rope_f32,0.061,0.41
cache_append_f32_bf16,0.043,0.04
sigmoid_mul_f32,0.024,0.20
split_last_f32,0.023,0.32
embedding_bf16,0.010,0.01
TOTAL_DEVICE_SUM,26.08,36.96

changes:
- six elementwise/split/rope/conv kernels were launched <<<1,256>>>; grids now cover the element count
- rms_norm sum-of-squares was a serial single-thread reduction over the whole row; now a strided partial + warp/block reduction

correctness (Tier 2):
- chat-template 60/60 continuation tokens identical to P7 baseline
- layer-3 differential max_abs=1.52588e-05 mean_abs=9.40284e-07 (PASS; improved vs 0.00107 because the parallel reduction is more accurate)
- GDN layer0 2 segments max_abs=0.000350952 mean_abs=3.0441e-06 (PASS)
